date,tqqq,qqq,bil
2011-06-06,0.3839837313,48.9761772156,73.6684188843
2011-06-07,0.3817566037,48.8885536194,73.6845474243
2011-06-08,0.3735381961,48.5380401611,73.6845474243
2011-06-09,0.3751721382,48.6256675720,73.6684188843
2011-06-10,0.3579433560,47.8808250427,73.6845474243
2011-06-13,0.3581905663,47.8808250427,73.6684188843
2011-06-14,0.3715077639,48.4942245483,73.6845474243
2011-06-15,0.3512096107,47.5741081238,73.6845474243
2011-06-16,0.3463085294,47.3900680542,73.6845474243
2011-06-17,0.3437344730,47.2416534424,73.6845474243
2011-06-20,0.3482885957,47.4875679016,73.6845474243
2011-06-21,0.3715077639,48.5063438416,73.6684188843
2011-06-22,0.3631409109,48.1550445557,73.6845474243
2011-06-23,0.3731911480,48.6029548645,73.6845474243
2011-06-24,0.3535366058,47.7598228455,73.6684188843
2011-06-27,0.3707159460,48.5239028931,73.6684188843
2011-06-28,0.3873506784,49.2440872192,73.6684188843
2011-06-29,0.3922022581,49.4460945129,73.6845474243
2011-06-30,0.4071040750,50.1048049927,73.6845474243
2011-07-01,0.4259668589,50.8600959778,73.6684188843
2011-07-05,0.4321055412,51.1147880554,73.6684188843
2011-07-06,0.4367100596,51.2816619873,73.6845474243
2011-07-07,0.4543845952,51.9842605591,73.6684188843
2011-07-08,0.4506223500,51.8437309265,73.6684188843
2011-07-11,0.4264621139,50.9039993286,73.6523742676
2011-07-12,0.4160648882,50.5175819397,73.6684188843
2011-07-13,0.4216104746,50.7283477783,73.6845474243
2011-07-14,0.4071040750,50.1399230957,73.6845474243
2011-07-15,0.4232939184,50.8073997498,73.6845474243
2011-07-18,0.4163130522,50.5351486206,73.6845474243
2011-07-19,0.4456709325,51.6856613159,73.6845474243
2011-07-20,0.4394333959,51.4660835266,73.6684188843
2011-07-21,0.4483447373,51.8086090088,73.6684188843
2011-07-22,0.4622562230,52.3443756104,73.6845474243
2011-07-25,0.4595337212,52.2389717102,73.6845474243
2011-07-26,0.4620584548,52.3706970215,73.6845474243
2011-07-27,0.4270066917,51.0181732178,73.6845474243
2011-07-28,0.4292843044,51.1060104370,73.6845474243
2011-07-29,0.4251256287,50.9391403198,73.6845474243
2011-08-01,0.4193823636,50.7020034790,73.6845474243
2011-08-02,0.3875483274,49.4197349548,73.6845474243
2011-08-03,0.3975985050,49.8939971924,73.6845474243
2011-08-04,0.3434864283,47.5754165649,73.6845474243
2011-08-05,0.3359114230,47.2767753601,73.6845474243
2011-08-08,0.2768982053,44.4312210083,73.6845474243
2011-08-09,0.3148214817,46.5741653442,73.6845474243
2011-08-10,0.2776899636,44.6683616638,73.6845474243
2011-08-11,0.3133357465,46.6356544495,73.6845474243
2011-08-12,0.3213070929,47.0484275818,73.6845474243
2011-08-15,0.3351690173,47.7422714233,73.6845474243
2011-08-16,0.3265550733,47.3382720947,73.6845474243
2011-08-17,0.3212577105,47.0572242737,73.6845474243
2011-08-18,0.2746700644,44.7473869324,73.6523742676
2011-08-19,0.2592730224,43.9393959045,73.6845474243
2011-08-22,0.2615999281,44.0974807739,73.6523742676
2011-08-23,0.2939786911,45.9154891968,73.6845474243
2011-08-24,0.3009101152,46.2755661011,73.6845474243
2011-08-25,0.2864531875,45.5202636719,73.6523742676
2011-08-26,0.3071475923,46.6619911194,73.6845474243
2011-08-29,0.3332878649,47.9618415833,73.6845474243
2011-08-30,0.3400701880,48.2780151367,73.6845474243
2011-08-31,0.3420510292,48.3570518494,73.6845474243
2011-09-01,0.3323972225,47.9179039001,73.6845474243
2011-09-02,0.3091275990,46.7937393188,73.6845474243
2011-09-06,0.3090783060,46.8025398254,73.6684188843
2011-09-07,0.3324466646,47.9881744385,73.6523742676
2011-09-08,0.3278421164,47.7686157227,73.6523742676
2011-09-09,0.3062569499,46.7059135437,73.6684188843
2011-09-12,0.3177425265,47.3031387329,73.6684188843
2011-09-13,0.3300702572,47.9354705811,73.6523742676
2011-09-14,0.3443285525,48.6205406189,73.6523742676
2011-09-15,0.3599727750,49.3407058716,73.6523742676
2011-09-16,0.3693794012,49.7929687500,73.6523742676
2011-09-19,0.3703195155,49.8105583191,73.6684188843
2011-09-20,0.3650725782,49.5905838013,73.6684188843
2011-09-21,0.3465063274,48.7283096313,73.6684188843
2011-09-22,0.3127920330,47.1444969177,73.6523742676
2011-09-23,0.3225446939,47.6460151672,73.6684188843
2011-09-26,0.3334855437,48.2003669739,73.6684188843
2011-09-27,0.3436850011,48.7018928528,73.6523742676
2011-09-28,0.3274952173,47.9803810120,73.6684188843
2011-09-29,0.3177919090,47.4084663391,73.6684188843
2011-09-30,0.2930871248,46.1854248047,73.6684188843
2011-10-03,0.2701159716,44.9975624084,73.6684188843
2011-10-04,0.2865519524,45.9214363098,73.6684188843
2011-10-05,0.3083358705,47.1004905701,73.6684188843
2011-10-06,0.3241787553,47.8923950195,73.6523742676
2011-10-07,0.3174944222,47.5756416321,73.6684188843
2011-10-10,0.3500709236,49.2210426331,73.6523742676
2011-10-11,0.3575469851,49.5554008484,73.6684188843
2011-10-12,0.3632901907,49.8017578125,73.6523742676
2011-10-13,0.3730429113,50.2593002319,73.6684188843
2011-10-14,0.3935891390,51.1919898987,73.6523742676
2011-10-17,0.3753698468,50.4000778198,73.6523742676
2011-10-18,0.3889846504,51.0248031616,73.6684188843
2011-10-19,0.3665573299,50.0393371582,73.6684188843
2011-10-20,0.3619033098,49.7929687500,73.6684188843
2011-10-21,0.3747757077,50.4176788330,73.6523742676
2011-10-24,0.3981926441,51.4647636414,73.6523742676
2011-10-25,0.3756169081,50.4528884888,73.6684188843
2011-10-26,0.3741321862,50.3912887573,73.6684188843
2011-10-27,0.4042828679,51.7815208435,73.6523742676
2011-10-28,0.4056192935,51.8607177734,73.6523742676
2011-10-31,0.3855189085,50.9896202087,73.6363372803
2011-11-01,0.3556658328,49.6609764099,73.6684188843
2011-11-02,0.3644280136,50.0833320618,73.6523742676
2011-11-03,0.3866082430,51.1215972900,73.6363372803
